# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.993561625480651855e-01 2.585250139236450195e-01 1.112552642822265625e+00
1.000000000000000000e+03 1.573807967361062765e-04 1.685902534518390894e-04 2.841093391180038452e-02
2.000000000000000000e+03 4.274724051356315613e-05 7.303422898985445499e-05 1.869960874319076538e-02
3.000000000000000000e+03 4.581240318657364696e-06 3.345299410284496844e-05 1.265571732074022293e-02
4.000000000000000000e+03 8.560256503642449388e-08 2.330581446585711092e-05 1.056334376335144043e-02
5.000000000000000000e+03 3.855144825593015412e-08 2.233413033536635339e-05 1.034079212695360184e-02
6.000000000000000000e+03 9.203187119055655785e-07 2.434493580949492753e-05 1.079626660794019699e-02
7.000000000000000000e+03 1.365616597581720271e-08 2.230674726888537407e-05 1.033445075154304504e-02
8.000000000000000000e+03 3.070366627611065269e-09 2.203569238190539181e-05 1.027147006243467331e-02
9.000000000000000000e+03 2.036215418499409679e-09 2.192063220718409866e-05 1.024462003260850906e-02
1.000000000000000000e+04 1.989081122033553584e-09 2.185331868531648070e-05 1.022887788712978363e-02
